epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,198970,1.19452,0.85467,1.26686,0.75932,0.77382,0.78789,0.50363,1.20976,0.67866,1.28489,3.75337e-05,3.75337e-05,3.75337e-05
136,200410,1.1295,0.64702,1.23766,0.75954,0.77353,0.78711,0.50307,1.20993,0.67905,1.28491,3.4227e-05,3.4227e-05,3.4227e-05
137,201845,1.1172,0.632,1.23228,0.75918,0.7735,0.78654,0.50291,1.20994,0.67918,1.28463,3.11268e-05,3.11268e-05,3.11268e-05
138,203281,1.11228,0.62783,1.22759,0.75792,0.77544,0.78656,0.50272,1.21007,0.67931,1.2848,2.82345e-05,2.82345e-05,2.82345e-05
139,204718,1.11039,0.62175,1.22732,0.75775,0.77548,0.78655,0.50283,1.20996,0.67974,1.28481,2.55513e-05,2.55513e-05,2.55513e-05
140,206154,1.10997,0.62219,1.22829,0.75731,0.77605,0.78672,0.50309,1.20966,0.67971,1.28442,2.30784e-05,2.30784e-05,2.30784e-05
141,207590,1.107,0.62009,1.2248,0.75557,0.77755,0.78672,0.50333,1.2094,0.67978,1.28424,2.08169e-05,2.08169e-05,2.08169e-05
142,209025,1.10424,0.61826,1.22509,0.75529,0.77841,0.78663,0.50367,1.20936,0.67968,1.2843,1.87678e-05,1.87678e-05,1.87678e-05
143,210461,1.10403,0.61672,1.22506,0.75475,0.77806,0.78671,0.50385,1.20947,0.67958,1.2844,1.6932e-05,1.6932e-05,1.6932e-05
144,211898,1.10467,0.61675,1.22495,0.7554,0.77792,0.78658,0.50362,1.20932,0.67939,1.28445,1.53102e-05,1.53102e-05,1.53102e-05
145,213333,1.10195,0.61549,1.22296,0.75576,0.77773,0.78691,0.50383,1.20919,0.67935,1.28446,1.39032e-05,1.39032e-05,1.39032e-05
146,214767,1.10276,0.61597,1.22225,0.75576,0.77748,0.78682,0.50393,1.20917,0.67913,1.28444,1.27117e-05,1.27117e-05,1.27117e-05
147,216203,1.1008,0.6128,1.22232,0.75405,0.77886,0.78675,0.50384,1.20907,0.67891,1.28435,1.1736e-05,1.1736e-05,1.1736e-05
148,217638,1.10036,0.61415,1.22224,0.75541,0.77792,0.78694,0.50407,1.20909,0.67882,1.28446,1.09768e-05,1.09768e-05,1.09768e-05
149,219072,1.10032,0.61271,1.22166,0.75523,0.77905,0.78659,0.50377,1.2092,0.67852,1.28453,1.04342e-05,1.04342e-05,1.04342e-05
150,220506,1.1001,0.61289,1.22279,0.75641,0.77874,0.78654,0.50403,1.20924,0.67824,1.28459,1.01086e-05,1.01086e-05,1.01086e-05
